hex_id,y_mean_kcal_ha,count,proj_x,proj_y,lon,lat
13564.0,3008435712.0,1858.0,1366298.5255929404,1179977.6665292569,13.75078541653443,9.560291998071136
13565.0,2939610624.0,1857.0,1366298.5255929404,1329977.6665292569,13.783269481024465,10.780831867402503
13566.0,1360515840.0,1856.0,1366298.5255929404,1479977.6665292569,13.819910733181262,12.003268761912423
13567.0,14034810.0,1856.0,1366298.5255929404,1629977.6665292569,13.8608065921815,13.227830038873511
13568.0,0.0,1893.0,1366298.5255929404,1779977.6665292569,13.906067411290019,14.45474755036459
13569.0,0.0,1856.0,1366298.5255929404,1929977.6665292569,13.955817337845884,15.684258206189702
13570.0,0.0,1856.0,1366298.5255929404,2079977.6665292569,14.010195303757095,16.916604571491224
13571.0,0.0,1858.0,1366298.5255929404,2229977.666529257,14.069356162655593,18.152035504086275
13572.0,0.0,1856.0,1366298.5255929404,2379977.666529257,14.133471992848628,19.390806837153743
13573.0,0.0,1857.0,1366298.5255929404,2529977.666529257,14.202733588741685,20.633182113605006
13574.0,0.0,1894.0,1366298.5255929404,2679977.666529257,14.277352167629655,21.87943337930295
13575.0,0.0,1857.0,1366298.5255929404,2829977.666529257,14.357561323816636,23.129842043276152
13576.0,0.0,1856.0,1366298.5255929404,2979977.666529257,14.44361926813121,24.38469981423655
13577.0,0.0,1858.0,1366298.5255929404,3129977.666529257,14.535811398306715,25.644309724085705
13578.0,0.0,1857.0,1366298.5255929404,3279977.666529257,14.634453254717723,26.908987250731926
13579.0,0.0,1857.0,1366298.5255929404,3429977.666529257,14.73989392701682,28.179061554493355
13580.0,0.0,1893.0,1366298.5255929404,3579977.666529257,14.852519990831311,29.45487684469958
13581.0,0.0,1857.0,1366298.5255929404,3729977.666529257,14.972760070545249,30.73679389591443
13582.0,161763152.0,1064.0,1366298.5255929404,3879977.666529257,15.101090145205898,32.02519173659522
13585.0,5075995136.0,16.0,1366298.5255929404,4329977.666529257,15.54022815046166,35.933375394225415
13586.0,6895311872.0,434.0,1366298.5255929404,4479977.666529257,15.70686573381869,37.25192296791561
13587.0,7542436352.0,683.0,1366298.5255929404,4629977.666529257,15.884942458427489,38.579195313481364
13588.0,8325453824.0,1060.0,1366298.5255929404,4779977.666529257,16.0753945856915,39.915730233017136
13589.0,7932173824.0,1189.0,1366298.5255929404,4929977.666529257,16.279281314982807,41.2621034969555
13590.0,6856288768.0,277.0,1366298.5255929404,5079977.666529257,16.497805568951385,42.61893349245449
13591.0,8485108736.0,1773.0,1366298.5255929404,5229977.666529257,16.732339280578767,43.986886614804206
13592.0,8858492928.0,1855.0,1366298.5255929404,5379977.666529257,16.984454377327314,45.36668355678924
13593.0,8818759680.0,1893.0,1366298.5255929404,5529977.666529257,17.255961039690924,46.759106690944115
13594.0,8465894400.0,1856.0,1366298.5255929404,5679977.666529257,17.54895533782006,48.16500879216476
13595.0,8727212032.0,1856.0,1366298.5255929404,5829977.666529257,17.865879084532313,49.585323417857715
13596.0,9144251392.0,1858.0,1366298.5255929404,5979977.666529257,18.209595782518814,51.021077356435654
13597.0,8947989504.0,1857.0,1366298.5255929404,6129977.666529257,18.583488036554893,52.473405682303365
13598.0,8855714816.0,1667.0,1366298.5255929404,6279977.666529257,18.99158398108406,53.94357013107161
13599.0,8697134080.0,85.0,1366298.5255929404,6429977.666529257,19.438723512685293,55.43298175456676
13600.0,8081379328.0,41.0,1366298.5255929404,6579977.666529257,19.93078002625233,56.9432291651551
13601.0,7042506240.0,17.0,1366298.5255929404,6729977.666529257,20.474960957831453,58.47611418632196
13602.0,5932208640.0,1045.0,1366298.5255929404,6879977.666529257,21.080222503342338,60.033697477422855
13603.0,5664011264.0,1239.0,1366298.5255929404,7029977.666529257,21.757853554426735,61.61835783770042
13604.0,4652950016.0,1507.0,1366298.5255929404,7179977.666529257,22.522316958126986,63.232870661644824
13605.0,2230686976.0,359.0,1366298.5255929404,7329977.666529257,23.392493746228727,64.88051384498735
13606.0,1428868864.0,1857.0,1366298.5255929404,7479977.666529257,24.393580173487045,66.56521411863552
13607.0,3243548.75,1856.0,1366298.5255929404,7629977.666529257,25.560085001145982,68.29175483522656
13608.0,0.0,1738.0,1366298.5255929404,7779977.666529257,26.94077011787688,70.06608072272088
13609.0,0.0,38.0,1366298.5255929404,7929977.666529257,28.60722297630504,71.89576266677385
13669.0,9700153344.0,1894.0,1539503.6063498282,-1145022.3334707431,15.48609947182269,-9.276111396027776
13670.0,10126280704.0,1857.0,1539503.6063498282,-995022.3334707431,15.455142389170986,-8.057603456232613
13671.0,10064573440.0,1856.0,1539503.6063498282,-845022.3334707431,15.428672909548865,-6.840498397018953
13672.0,9951519744.0,1855.0,1539503.6063498282,-695022.3334707431,15.406623240219332,-5.6245798745168525
